,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,azul,-36.777,-59.8585,52.34,52,98,5.12,AR,1651507617
369,zaraza,9.3503,-65.3245,95.59,29,3,9.53,VE,1651507617
370,axim,4.8699,-2.2405,84.29,72,100,7.78,GH,1651507618
371,lavrentiya,65.5833,-171.0,5.02,91,44,7.72,RU,1651507618
372,simao,22.7886,100.9748,60.08,73,100,2.55,CN,1651507619
373,saint-francois,46.4154,3.9054,67.44,37,0,3.44,FR,1651507620
374,revelstoke,50.9832,-118.2023,48.96,86,100,1.14,CA,1651507620
375,durango,24.8333,-104.8333,69.6,11,2,2.28,MX,1651507485
376,kentau,43.5206,68.5094,66.99,73,100,13.42,KZ,1651507621
377,guaymas,27.9333,-110.9,76.46,54,0,12.5,MX,1651507482
378,cockburn town,21.4612,-71.1419,78.62,82,63,18.66,TC,1651507623
379,redmond,47.674,-122.1215,50.77,87,100,1.01,US,1651507623
380,tuy hoa,13.0833,109.3,76.69,83,99,8.39,VN,1651507624
381,chiradzulu,-15.6746,35.1407,59.02,90,27,8.23,MW,1651507625
382,kaeo,-35.1,173.7833,58.51,87,99,5.37,NZ,1651507626
383,kadom,54.5592,42.4675,47.86,76,99,9.44,RU,1651507627
384,te anau,-45.4167,167.7167,47.32,84,59,1.16,NZ,1651507628
385,codrington,-38.2667,141.9667,56.41,76,51,8.39,AU,1651507628
386,puerto escondido,15.85,-97.0667,86.47,58,100,3.91,MX,1651507496
387,komsomolskiy,40.4272,71.7189,81.32,29,69,20.71,UZ,1651507629
388,leningradskiy,69.3833,178.4167,3.07,92,100,2.39,RU,1651507630
389,dubbo,-32.25,148.6167,53.73,87,0,8.05,AU,1651507630
390,nicoya,10.1483,-85.452,87.75,58,100,2.55,CR,1651507631
391,padang,-0.9492,100.3543,77.05,87,100,6.02,ID,1651507631
392,caernarfon,53.1413,-4.2702,57.07,37,93,1.99,GB,1651507632
393,chihuahua,28.5,-106.0,74.23,8,1,12.48,MX,1651507633
394,kandrian,-6.2167,149.55,77.36,88,44,4.14,PG,1651507633
395,havelock,34.8791,-76.9013,82.98,78,60,5.99,US,1651507634
396,vao,-22.6667,167.4833,75.43,88,13,9.26,NC,1651507634
397,san quintin,30.4833,-115.95,60.46,66,84,6.73,MX,1651507635
398,marawi,7.9986,124.2928,70.32,94,100,1.34,PH,1651507405
399,terrace,54.5163,-128.6035,44.51,100,100,2.3,CA,1651507636
400,taman,45.2117,36.7161,51.12,77,27,17.56,RU,1651507636
401,pontianak,-0.0333,109.3333,76.98,100,75,4.61,ID,1651507637
402,ust-kuyga,70.0167,135.6,16.86,95,100,7.43,RU,1651507638
403,manali,13.1667,80.2667,87.89,85,52,11.25,IN,1651507638
404,wapi pathum,15.8452,103.3768,73.96,66,99,16.26,TH,1651507639
405,cooma,-36.2333,149.1333,42.03,85,10,2.93,AU,1651507639
406,weligama,5.9667,80.4167,80.56,87,85,9.13,LK,1651507640
407,masvingo,-20.0637,30.8277,59.27,59,13,5.39,ZW,1651507641
408,ankang,32.68,109.0172,56.86,43,0,1.21,CN,1651507588
409,waipawa,-41.4122,175.5153,55.0,90,97,4.38,NZ,1651507642
410,dukhovnitskoye,52.4828,48.2137,48.42,54,63,7.72,RU,1651507643
411,kansanshi,-12.0951,26.4273,61.29,79,75,5.17,ZM,1651507643
412,san luis,-33.295,-66.3356,65.32,32,92,4.65,AR,1651507644
413,risor,58.7206,9.2342,60.3,47,81,11.9,NO,1651507533
414,chifeng,42.2683,118.9636,61.29,32,84,16.96,CN,1651507645
415,inta,66.0317,60.1659,27.14,90,100,10.13,RU,1651507646
416,grenfell,-33.9,148.1667,51.24,75,0,3.83,AU,1651507646
417,kelso,46.1468,-122.9084,50.49,91,100,6.91,US,1651507647
418,yakeshi,49.2833,120.7333,51.08,47,96,3.02,CN,1651507648
419,auki,-8.7676,160.7034,76.84,89,52,4.5,SB,1651507648
420,barysh,53.6553,47.1123,47.05,56,93,3.78,RU,1651507649
421,flinders,-34.5833,150.8552,62.06,90,16,4.0,AU,1651507483
422,dashitou,43.3067,128.5114,40.1,63,96,3.91,CN,1651507650
423,qasigiannguit,68.8193,-51.1922,26.85,70,100,2.91,GL,1651507579
424,husavik,66.0449,-17.3389,36.16,56,81,4.76,IS,1651507651
425,suileng,47.25,127.0833,46.74,66,100,16.64,CN,1651507652
426,peniche,39.3558,-9.3811,64.29,76,31,19.15,PT,1651507653
427,mumford,5.2618,-0.759,84.0,73,100,10.8,GH,1651507654
428,rock sound,24.9,-76.2,76.66,75,23,19.98,BS,1651507654
429,dosso,13.049,3.1937,107.64,7,68,4.45,NE,1651507655
430,iquique,-20.2208,-70.1431,64.44,64,2,6.82,CL,1651507655
431,nyuksenitsa,60.4128,44.2397,42.44,75,95,5.99,RU,1651507656
432,honningsvag,70.9821,25.9704,29.95,80,100,27.63,NO,1651507657
433,nuuk,64.1835,-51.7216,36.21,69,40,5.01,GL,1651507418
434,largo,27.9095,-82.7873,86.05,63,0,7.0,US,1651507498
435,petropavlovsk-kamchatskiy,53.0452,158.6483,27.19,80,0,4.47,RU,1651507658
436,gorahun,7.4661,-11.2375,84.87,70,94,7.25,SL,1651507659
437,hrubieszow,50.805,23.8925,59.07,60,52,7.49,PL,1651507659
438,shaowu,27.3409,117.4831,56.55,81,79,2.01,CN,1651507660
439,fribourg,46.8024,7.1513,66.04,49,95,3.67,CH,1651507661
440,anito,12.4497,125.2886,77.09,86,100,5.39,PH,1651507661
441,butka,56.7179,63.7866,41.58,63,98,5.93,RU,1651507662
442,coahuayana,18.7333,-103.6833,87.28,21,70,3.85,MX,1651507663
443,baker city,44.7749,-117.8344,50.59,76,20,8.05,US,1651507621
444,oistins,13.0667,-59.5333,86.09,70,75,19.57,BB,1651507664
445,nizhniy ufaley,55.9153,59.9842,38.46,74,93,7.27,RU,1651507664
446,bud,39.447,-86.1758,66.4,64,3,8.43,US,1651507665
447,namie,37.4833,141.0,43.72,89,100,4.47,JP,1651507665
448,dzilam gonzalez,21.2833,-88.9333,88.36,48,33,7.0,MX,1651507666
449,souillac,-20.5167,57.5167,76.57,85,18,7.07,MU,1651507667
450,diego de almagro,-26.3667,-70.05,70.95,28,2,6.49,CL,1651507667
451,turukhansk,65.8167,87.9833,26.44,85,63,7.76,RU,1651507668
452,port moresby,-9.4431,147.1797,76.8,91,100,7.56,PG,1651507669
453,vanimo,-2.6741,141.3028,78.1,88,71,3.49,PG,1651507669
454,huambo,-12.7761,15.7392,65.88,62,14,5.17,AO,1651507670
455,bulungu,-4.55,18.6,79.11,78,72,2.66,CD,1651507630
456,mackay,-21.15,149.2,73.69,81,14,11.65,AU,1651507671
457,copiapo,-27.3667,-70.3333,56.89,34,54,6.02,CL,1651507671
458,valkla,59.4744,25.3186,53.65,59,100,16.55,EE,1651507672
459,payo,-3.7508,103.6372,73.72,99,100,2.42,ID,1651507672
460,ouesso,1.6136,16.0517,84.15,64,97,1.23,CG,1651507673
461,inhambane,-23.865,35.3833,71.89,75,8,8.72,MZ,1651507674
462,udankudi,8.4333,78.0167,87.98,65,100,9.95,IN,1651507674
463,malakal,9.5334,31.6605,93.11,35,93,5.88,SS,1651507675
464,zhangjiakou,40.81,114.8794,61.77,32,58,4.12,CN,1651507675
465,gravelbourg,49.8834,-106.5512,49.98,54,100,12.75,CA,1651507676
466,moerai,-22.4333,-151.3333,76.96,76,100,8.25,PF,1651507677
467,banda aceh,5.5577,95.3222,80.49,82,100,14.63,ID,1651507678
468,worland,44.0169,-107.9554,51.6,75,100,3.44,US,1651507678
469,jurado,7.1053,-77.7641,82.02,81,100,4.56,CO,1651507679
470,ruwi,23.5996,58.5507,94.69,29,0,5.01,OM,1651507680
471,ulaangom,49.9811,92.0667,63.16,25,100,5.26,MN,1651507680
472,goderich,43.7501,-81.7165,47.91,96,100,10.54,CA,1651507681
473,litovko,49.2361,135.1742,38.34,73,82,3.31,RU,1651507682
474,uga,5.9358,7.0793,78.42,73,100,2.86,NG,1651507683
475,bima,-8.4667,118.7167,76.59,94,65,3.38,ID,1651507684
476,itarantim,-15.6597,-40.0656,86.31,44,67,5.68,BR,1651507685
477,xianshuigu,38.985,117.3828,59.0,72,0,4.47,CN,1651507686
478,meulaboh,4.1363,96.1285,76.57,93,100,2.19,ID,1651507494
479,amboasary,-25.0333,46.3833,69.76,74,19,5.28,MG,1651507687
480,guspini,39.5406,8.6294,67.53,54,60,4.81,IT,1651507687
481,goalpara,26.1667,90.6167,78.31,77,53,3.18,IN,1651507688
482,balykshi,47.0667,51.8667,59.0,29,0,8.95,KZ,1651507689
483,gangakher,18.95,76.75,98.76,15,34,4.76,IN,1651507689
484,guiratinga,-16.3494,-53.7583,88.92,30,3,7.43,BR,1651507690
485,canmore,51.0834,-115.3521,45.81,70,99,2.17,CA,1651507530
486,kimbe,-5.5502,150.1429,75.79,94,69,3.2,PG,1651507691
487,erzin,36.9559,36.2,64.15,87,98,5.79,TR,1651507691
488,pimentel,-6.8367,-79.9342,75.49,60,0,8.05,PE,1651507692
489,hukuntsi,-24.0,21.75,71.71,32,0,9.01,BW,1651507693
490,sapouy,11.5544,-1.7736,103.87,18,96,2.73,BF,1651507693
491,sabzevar,36.2126,57.6819,56.48,82,75,0.0,IR,1651507694
492,clyde,41.3042,-82.9752,55.02,68,55,11.3,US,1651507686
493,djambala,-2.5447,14.7533,78.3,72,99,2.71,CG,1651507695
494,acapulco,16.8634,-99.8901,89.42,35,20,0.0,MX,1651507534
495,dehui,44.5333,125.7,52.68,34,100,16.33,CN,1651507695
496,paranavai,-23.0731,-52.4653,82.35,52,3,8.16,BR,1651507696
497,songjianghe,42.1859,127.479,34.79,57,78,4.29,CN,1651507697
498,guabito,9.5,-82.6167,86.49,65,100,5.64,PA,1651507697
499,katangli,51.7102,143.2326,31.05,97,100,11.9,RU,1651507698
500,weiser,44.251,-116.9693,58.86,71,94,2.84,US,1651507699
501,kirakira,-10.4544,161.9205,79.41,84,98,1.57,SB,1651507699
502,laurel,39.0993,-76.8483,76.24,65,0,3.0,US,1651507537
503,oranjemund,-28.55,16.4333,68.07,46,29,6.85,NA,1651507700
504,klaksvik,62.2266,-6.589,41.92,61,99,11.41,FO,1651507578
505,odweyne,9.4092,45.064,78.76,52,85,1.7,SO,1651507701
506,heinola,61.2056,26.0381,48.13,59,100,13.04,FI,1651507702
507,lancaster,40.2504,-76.2499,65.57,74,100,3.44,US,1651507584
508,ocampo,21.65,-101.5,73.11,14,91,13.73,MX,1651507703
509,kahului,20.8947,-156.47,74.84,80,0,13.0,US,1651507703
510,severo-kurilsk,50.6789,156.125,33.55,86,99,5.48,RU,1651507586
511,pokhara,28.2333,83.9833,69.13,72,100,2.48,NP,1651507705
512,oswego,43.4501,-76.1497,60.53,91,93,4.0,US,1651507657
513,newport,51.5877,-2.9984,60.64,77,98,1.19,GB,1651507622
514,fukue,32.6881,128.8419,61.57,54,45,19.24,JP,1651507706
515,boffa,10.1667,-14.0333,89.51,50,42,12.88,GN,1651507707
516,ampanihy,-24.7,44.75,68.04,70,16,10.58,MG,1651507708
517,mazamari,-11.3258,-74.5308,86.94,50,64,2.51,PE,1651507709
518,clearwater,27.9659,-82.8001,86.11,64,0,11.01,US,1651507710
519,muhoroni,-0.1541,35.1988,64.98,95,100,2.21,KE,1651507711
520,makakilo city,21.3469,-158.0858,72.19,79,0,9.22,US,1651507712
521,lichtervelde,51.0283,3.1458,65.26,56,60,13.0,BE,1651507712
522,lasa,46.6166,10.7002,59.68,84,100,1.88,IT,1651507713
523,freeport,40.6576,-73.5832,55.98,83,100,13.8,US,1651507713
524,virginia beach,36.8529,-75.978,81.05,65,38,7.76,US,1651507527
525,bonavista,48.6499,-53.1147,37.92,96,100,10.42,CA,1651507520
526,grindavik,63.8424,-22.4338,45.07,87,100,20.71,IS,1651507714
527,malazgirt,39.1427,42.5401,48.67,85,85,1.7,TR,1651507715
528,lima,-12.0432,-77.0282,69.42,69,80,6.49,PE,1651507583
529,coihaique,-45.5752,-72.0662,50.61,87,92,9.53,CL,1651507622
530,darhan,49.4867,105.9228,63.84,19,63,8.32,MN,1651507717
531,imbituba,-28.24,-48.6703,65.86,94,100,11.3,BR,1651507717
532,sao jose da coroa grande,-8.8978,-35.1478,82.36,77,47,11.43,BR,1651507718
533,calabozo,8.9242,-67.4293,92.91,36,8,9.22,VE,1651507719
534,west fargo,46.875,-96.9004,38.01,77,100,13.8,US,1651507719
535,gold coast,-28.0,153.4333,66.27,86,75,10.36,AU,1651507473
